[2026-07-07T04:56:48.312Z] GET https://tjddns98.cafe24.com/ → pending (?ms, ?B)
[2026-07-07T04:56:51.741Z] GET https://fonts.googleapis.com/css2?family=Jost:wght@300;400&family=Noto+Sans+KR:wght@300;400;700&display=swap → 200 (385ms, ?B)
[2026-07-07T04:56:51.741Z] GET https://fonts.googleapis.com/css2?family=Lora:wght@400;700&family=Nanum+Myeongjo:wght@400;700&display=swap → 200 (363ms, ?B)
[2026-07-07T04:56:51.741Z] GET https://fonts.googleapis.com/css2?family=Nanum+Gothic:wght@400;700&family=Roboto:wght@300;400;700&display=swap → 200 (458ms, ?B)
[2026-07-07T04:56:51.741Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/css/sCoreDream.css → 200 (54ms, 579B)
[2026-07-07T04:56:51.742Z] GET https://cafe24img.poxo.com/file.cafe24cos.com/aisg/resources/css/Cafe24Ohsquare.css → 200 (54ms, 439B)
[2026-07-07T04:56:51.742Z] GET https://tjddns98.cafe24.com/ind-script/optimizer.php?filename=lY1BCgIxDEX3pVvPERd6Am8geIA0ZqRMmpQ0A3p7ZVYiuOj2895_3e3h2MB52ObEQGPA4qYBZK2Z5s9w6P8ppjRMtqimqdhzCt8i5gKCL_YZIbAITwnWk1TlVFD1pyW1wK12pBWu3y8XFNY7OpzyOR9hEYxead3lNw&type=css&k=61732c6aac8d44fbd11c495dd901314cca505b98&t=1783322611 → 200 (30ms, 5651B)
[2026-07-07T04:56:51.742Z] GET https://tjddns98.cafe24.com/ind-script/optimizer_user.php?filename=ldQxbsMwDAXQ3c7ac6hpT9GhU08gi7RNRBLVkEKT21dJkK1Ayc22_jNEmpYAzoBCWw1yonoMOV65a1iiUApJJJRI9TAuXuTfaO2qNFEFvBhF4lLY-vrHA2MY0zRucOrkBMsowrylJ9K4-EVGr2HOSs2pdsxesnIGb9v44hQjlZyknRl6UreCj7qyV8WNalTrN4oAs-5Y8PXdKL47pdO8Zo7WguSHGp4PhbzjORaG-9Pcf_HR1YxPXvoYMtm5fe3UGtXNuru-zKJX81Tf8veOuTt8dIs3h3AdM48jL3VRLta6MwF-Yu23_C8&type=css&k=2b6b1238698cf23181e43beb18a8a36080d2af25&t=1783317760&user=T → 200 (106ms, 51645B)
[2026-07-07T04:56:51.742Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/upload/category/logo/v2_c3d25893ea5007a6f32610a8b3f93269_0qyo8Umrl6_top.jpg → 200 (57ms, 93183B)
[2026-07-07T04:56:51.742Z] GET https://tjddns98.cafe24.com/SkinImg/img/sldiebar_close.svg → 200 (26ms, 916B)
[2026-07-07T04:56:51.742Z] GET https://tjddns98.cafe24.com/skin-skin1/SkinImg/img/nutti_hero.webp → 200 (36ms, 4469217B)
[2026-07-07T04:56:51.742Z] GET https://img.echosting.cafe24.com/design/skin/admin/ko_KR/btn_wish_before.png → 200 (201ms, 3765B)
[2026-07-07T04:56:51.742Z] GET https://img.echosting.cafe24.com/design/skin/admin/ko_KR/btn_list_cart.gif → pending (?ms, ?B)
[2026-07-07T04:56:51.752Z] GET https://assets.poxo.com/jet/jet.js → pending (?ms, ?B)
[2026-07-07T04:56:51.752Z] GET https://ecimg.cafe24img.com/pg2115b56677046089/tjddns98/web/upload/category/logo/v2_c3d25893ea5007a6f32610a8b3f93269_3kb3EwxFaG_bottom.jpg → pending (?ms, ?B)
[2026-07-07T04:56:51.752Z] GET https://tjddns98.cafe24.com/skin-skin1/SkinImg/img/instagram_logo.png → pending (?ms, ?B)
[2026-07-07T04:56:51.752Z] GET https://tjddns98.cafe24.com/skin-skin1/SkinImg/img/kakaotalk_logo.png → pending (?ms, ?B)
[2026-07-07T04:56:51.752Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_allat.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_iniapy.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_kcp.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_kicc.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_ksnet.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_nice.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_payments.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_settle.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/SkinImg/img/bt_ew_smartro.png → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/app/Eclog/js/cid.generate.js?vs=4bae7bf3d5a3ffe5d566014b077bb096&u=tjddns98.1 → 200 (447ms, 3262B)
[2026-07-07T04:56:51.753Z] GET https://t1.kakaocdn.net/kakao_js_sdk/v1/kakao.min.js → pending (?ms, ?B)
[2026-07-07T04:56:51.753Z] GET https://tjddns98.cafe24.com/ind-script/i18n.php?v=2607011490&lang=ko_KR&domain=front&type= → pending (?ms, ?B)
